title,author,price,discount
Feel Good Food : Recept och mindset för att må bra inifrån och ut,Josefin Dahlberg,239,NY
Kalorismart : Enkla recept för att äta gott och må bra,Annie Erfass,259,NY
Så vinner vi igen : att utveckla talanger och svensk idrott,Patrik Brenning,239,NY
För sent,Colleen Hoover,169,-26%
En liten roman,Lars Norén,259,NY
Gravglänta,Mattias Edvardsson,199,-17%
Det är inte ditt fel att du är trött : slipp oro och press i vardagen,Björn Rudman,239,NY
Hundra dagar i juli,Emelie Schepp,249,NY
Utsidans klass,Anna-Karin Selberg,239,NY
Sluten anstalt,Fanny Klang,219,NY
Trollet som hittade hem,Lars Lerin,229,-12%
Den sista boken om mordet på Olof Palme,Jon Jordås,239,NY
Bläckfisken,Maria Grund,239,NY
Japansk comfort food : 60 recept för hemmamatlagning,Saori Ichihara,249,NY
Medan vi lever : tankar om existensen,Nina Björk,229,NY
Rymdmysteriet,Martin Widmark,129,-13%
Partiets själ,Max Gustafson,227,NY
"Skolplattformen: En sann historia om miljarder, konsulter, föräldrar och barn",Olle Lidbom,249,NY
Socialt arbete : en grundbok,Anna Meeuwisse,529,NY
Kjell Höglund och hans värld,Anders Sundelin,239,NY
Currymamman : Mina indiska favoriter,Malin Mendel,199,-20%
Helga,Bengt Ohlsson,239,NY
Den första boken,Karolina Ramqvist,249,NY
Skuggvarg,Frida Skybäck,229,NY
Kärlekens idioter,Emma Hamberg,229,NY
Stinas jojk,Mats Jonsson,199,NY
Tant Valborg bar alltid turban när hon gick bort : En berättelse om en by,Gustav Bergström,239,NY
Fredriks middagstips : Mat man blir glad av,Fredrik Nylén,249,NY
Handbok för kvinnor med (eller utan) ADHD : En radikal guide till en bättre vardag och hur du får din inre kritiker att hålla lite mera käft,Ann Söderlund,239,NY
Den som följer en stjärna vänder inte om,Malin Haawind,229,NY
"Högkänsliga barn : en handbok för att förstå, stötta och lyfta ditt unika barn",Åsa Vikman,229,NY
Handbok för kvinnor med (eller utan) ADHD : En radikal guide till en bättre vardag och hur du får din inre kritiker att hålla lite mera käft,Ann Söderlund,239,NY
Den som följer en stjärna vänder inte om,Malin Haawind,229,NY
God natt min skatt! Sömnens bästa vän,Millis Sarri,129,NY
Den förlorade sonen,Caroline Ringskog Ferrada-Noli,229,NY
Presidentvalet 2024 och demokratin i Amerika,Hans Bergström,229,NY
"När barnen flyttar hemifrån : känslorna, omställningen och det fortsatta livet",Camilla Von Below,269,NY
Imorgon är jag långt härifrån : ett avskedsbrev till USA,Martin Gelin,229,NY
Fantastiska rebeller,Andrea Wulf,229,-12%
Bläckfisken,Maria Grund,239,NY
Boken om oro : råd och hjälp om stort och smått,Reyhaneh Ahangaran,189,NY
Godmorgon med Babblarna,Anneli Tisell,129,NY
"Stormningen : våldet, lögnerna och åren som förändrade USA",Cecilia Khavar,199,-17%
Hansan : Ett handelsimperiums uppgång och fall,Dick Harrison,299,NY
Harry Potter och De vises sten: Jubileumsutgåva av MinaLima,J K Rowling,339,NY
Varje tugga är en tanke : svensk matkultur under 800 år,Richard Tellström,249,NY
Den längsta resan,Kg Hammar,219,NY
"Gott som fan : recept för dig som gillar smör, sås och lite fräscht",Amanda Wiger,249,NY
Tolv otämjda hästar,Anne Holt,239,NY
Darling : om Lilian och prins Bertil,Helena Dahlgren,219,NY
Den väg är bred,David Eklind Kloo,201,NY
Dinosauriegänget : halloweenfesten,Lars Mæhle,129,NY
Gå över lik,Anna Jansson,219,-12%
"Sticka, brodera och sy rya med Svensk Hemslöjd. Pionjärer och mönster från",Susanne Helgeson,249,NY
Demon Copperhead,Barbara Kingsolver,259,NY
"En ny kompis, Pytte!",Ingrid Flygare,79,NY
Regnbågen,Lennart Sjögren,239,NY
Ciderboken : tillverka cider hemma,Magnus Vasilis,269,NY
Nådastolen,M W Craven,229,NY
Hundra in i döden : en polischefs berättelse om ett urspårat gängvåld,Christoffer Bohman,239,NY
Så vinner vi igen : att utveckla talanger och svensk idrott,Patrik Brenning,239,NY
Feel Good Food : Recept och mindset för att må bra inifrån och ut,Josefin Dahlberg,239,NY
Kalorismart : Enkla recept för att äta gott och må bra,Annie Erfass,259,NY
Japansk comfort food : 60 recept för hemmamatlagning,Saori Ichihara,249,NY
En liten roman,Lars Norén,259,NY
För sent,Colleen Hoover,169,-26%
Gravglänta,Mattias Edvardsson,199,-17%
Utsidans klass,Anna-Karin Selberg,239,NY
Trollet som hittade hem,Lars Lerin,229,-12%
Det är inte ditt fel att du är trött : slipp oro och press i vardagen,Björn Rudman,239,NY
Hundra dagar i juli,Emelie Schepp,249,NY
Sluten anstalt,Fanny Klang,219,NY
Study with me : Så bygger du matematiskt självförtroende,Eleonora Svanberg,239,NY
Rymdmysteriet,Martin Widmark,129,-13%
Den första boken,Karolina Ramqvist,249,NY
Fotbollsstjärnor : så blev vi bäst i världen,Johan Simonsson,139,-18%
Den sista boken om mordet på Olof Palme,Jon Jordås,239,NY
Medan vi lever : tankar om existensen,Nina Björk,229,NY
"Skolplattformen: En sann historia om miljarder, konsulter, föräldrar och barn",Olle Lidbom,249,NY
Currymamman : Mina indiska favoriter,Malin Mendel,199,-20%
Partiets själ,Max Gustafson,227,NY
Stinas jojk,Mats Jonsson,199,NY
Socialt arbete : en grundbok,Anna Meeuwisse,529,NY
Kjell Höglund och hans värld,Anders Sundelin,239,NY
Helga,Bengt Ohlsson,239,NY
Skuggvarg,Frida Skybäck,229,NY
Kärlekens idioter,Emma Hamberg,229,NY
Tant Valborg bar alltid turban när hon gick bort : En berättelse om en by,Gustav Bergström,239,NY
Fredriks middagstips : Mat man blir glad av,Fredrik Nylén,249,NY
Födas och att föda,Emilia Bergmark-Jiménez,279,NY
"Högkänsliga barn : en handbok för att förstå, stötta och lyfta ditt unika barn",Åsa Vikman,229,NY
Handbok för kvinnor med (eller utan) ADHD : En radikal guide till en bättre vardag och hur du får din inre kritiker att hålla lite mera käft,Ann Söderlund,239,NY
Den som följer en stjärna vänder inte om,Malin Haawind,229,NY
God natt min skatt! Sömnens bästa vän,Millis Sarri,129,NY
Den förlorade sonen,Caroline Ringskog Ferrada-Noli,229,NY
Presidentvalet 2024 och demokratin i Amerika,Hans Bergström,229,NY
"När barnen flyttar hemifrån : känslorna, omställningen och det fortsatta livet",Camilla Von Below,269,NY
Imorgon är jag långt härifrån : ett avskedsbrev till USA,Martin Gelin,229,NY
Fantastiska rebeller,Andrea Wulf,229,-12%
Bläckfisken,Maria Grund,239,NY
Boken om oro : råd och hjälp om stort och smått,Reyhaneh Ahangaran,189,NY
Godmorgon med Babblarna,Anneli Tisell,129,NY
"Stormningen : våldet, lögnerna och åren som förändrade USA",Cecilia Khavar,199,-17%
Hansan : Ett handelsimperiums uppgång och fall,Dick Harrison,299,NY
Harry Potter och De vises sten: Jubileumsutgåva av MinaLima,J K Rowling,339,NY
Varje tugga är en tanke : svensk matkultur under 800 år,Richard Tellström,249,NY
Den längsta resan,Kg Hammar,219,NY
"Gott som fan : recept för dig som gillar smör, sås och lite fräscht",Amanda Wiger,249,NY
Tolv otämjda hästar,Anne Holt,239,NY
Darling : om Lilian och prins Bertil,Helena Dahlgren,219,NY
Den väg är bred,David Eklind Kloo,201,NY
Dinosauriegänget : halloweenfesten,Lars Mæhle,129,NY
Gå över lik,Anna Jansson,219,-12%
"Sticka, brodera och sy rya med Svensk Hemslöjd. Pionjärer och mönster från",Susanne Helgeson,249,NY
Demon Copperhead,Barbara Kingsolver,259,NY
"En ny kompis, Pytte!",Ingrid Flygare,79,NY
Regnbågen,Lennart Sjögren,239,NY
Ciderboken : tillverka cider hemma,Magnus Vasilis,269,NY
Nådastolen,M W Craven,229,NY
Hundra in i döden : en polischefs berättelse om ett urspårat gängvåld,Christoffer Bohman,239,NY
